,datetime,tempmin,temp,tempmax
0,2025-09-01,14.3,18.3,22.5
1,2025-09-02,14.8,19.0,23.8
2,2025-09-03,14.3,19.5,23.7
3,2025-09-04,13.5,19.2,25.4
4,2025-09-05,18.3,22.1,27.8
5,2025-09-06,20.0,23.8,30.0
6,2025-09-07,16.2,17.9,19.5
7,2025-09-08,12.8,17.5,22.3
