,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,Boston,2025-09-01,22.5,14.3,18.3,22.5,14.3,18.3,13.3,73.4,0.0,0,0.0,,0,0,27.7,17.7,41.0,1024.6,57.5,15.7,548.7,47.3,8,10,2025-09-01T06:09:53,2025-09-01T19:17:56,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
1,Boston,2025-09-02,23.8,14.8,19.0,23.8,14.8,19.0,13.2,71.3,0.0,0,0.0,,0,0,29.5,23.5,98.2,1021.1,31.1,15.3,608.9,52.7,8,10,2025-09-02T06:10:56,2025-09-02T19:16:15,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
2,Boston,2025-09-03,23.7,14.3,19.5,23.7,14.3,19.5,12.6,66.0,0.0,0,0.0,,0,0,24.1,28.0,154.2,1014.5,22.4,15.6,615.2,53.1,8,10,2025-09-03T06:11:59,2025-09-03T19:14:32,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
3,Boston,2025-09-04,25.4,13.5,19.2,25.4,13.5,19.2,14.0,73.4,0.0,0,0.0,,0,0,42.5,29.5,175.5,1012.6,24.4,15.6,400.0,34.6,7,10,2025-09-04T06:13:02,2025-09-04T19:12:50,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
4,Boston,2025-09-05,27.8,18.3,22.1,28.9,18.3,22.2,18.1,79.8,2.237,100,12.5,rain,0,0,42.5,27.5,188.2,1013.2,67.9,15.7,564.2,48.8,8,10,2025-09-05T06:14:05,2025-09-05T19:11:07,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,AV085,KBED,0518W,KBOS"
5,Boston,2025-09-06,30.0,20.0,23.8,33.4,20.0,24.5,20.2,81.4,0.1,77,4.17,rain,0,0,48.2,29.5,210.3,1014.1,53.6,14.5,517.8,44.7,8,30,2025-09-06T06:15:08,2025-09-06T19:09:23,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"KOWD,KBED,0518W,KBOS"
6,Boston,2025-09-07,19.5,16.2,17.9,19.5,16.2,17.9,16.3,90.1,23.9,64,66.67,rain,0,0,16.6,11.2,319.4,1015.7,80.9,8.4,48.1,4.2,2,10,2025-09-07T06:16:11,2025-09-07T19:07:39,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
7,Boston,2025-09-08,22.3,12.8,17.5,22.3,12.8,17.5,10.8,66.7,0.0,9,0.0,rain,0,0,16.6,9.4,285.0,1023.9,31.8,16.3,234.4,20.2,6,10,2025-09-08T06:17:14,2025-09-08T19:05:55,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
