,datetime,description,icon
0,2025-08-25,Partly cloudy throughout the day with late afternoon rain.,rain
1,2025-08-26,Partly cloudy throughout the day.,partly-cloudy-day
2,2025-08-27,Partly cloudy throughout the day with afternoon rain.,rain
3,2025-08-28,Partly cloudy throughout the day.,partly-cloudy-day
4,2025-08-29,Partly cloudy throughout the day with rain.,rain
5,2025-08-30,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2025-08-31,Clear conditions throughout the day.,clear-day
7,2025-09-01,Partly cloudy throughout the day.,partly-cloudy-day
