,datetime,tempmin,temp,tempmax
0,2025-08-25,17.7,22.0,25.9
1,2025-08-26,17.7,21.8,26.1
2,2025-08-27,15.0,19.0,23.7
3,2025-08-28,13.0,19.3,25.3
4,2025-08-29,16.7,18.6,21.9
5,2025-08-30,13.2,19.1,24.2
6,2025-08-31,13.2,18.2,21.8
7,2025-09-01,14.3,18.3,22.5
