,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,Boston,2025-08-18,20.6,15.1,18.1,20.6,15.1,18.1,10.5,61.9,0.019,100,4.17,rain,0,0,47.9,28.3,58.5,1020.6,70.7,16.0,504.8,43.5,9,,2025-08-18T05:55:06,2025-08-18T19:40:30,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,Boston,2025-08-19,22.0,13.6,17.6,22.0,13.6,17.6,10.0,62.2,0.0,0,0.0,,0,0,27.0,20.5,93.4,1024.0,68.7,15.7,587.0,50.8,8,,2025-08-19T05:56:10,2025-08-19T19:38:59,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,Boston,2025-08-20,18.7,13.4,16.0,18.7,13.4,16.0,11.7,75.9,6.97,100,58.33,rain,0,0,30.6,20.6,64.2,1021.8,92.2,15.5,625.8,54.1,9,,2025-08-20T05:57:13,2025-08-20T19:37:26,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,Boston,2025-08-21,19.8,13.6,16.8,19.8,13.6,16.8,13.0,78.6,0.733,100,8.33,rain,0,0,49.4,32.5,34.7,1017.8,74.8,16.0,479.8,41.5,6,,2025-08-21T05:58:16,2025-08-21T19:35:53,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,Boston,2025-08-22,26.1,13.7,19.8,26.1,13.7,19.8,10.6,58.3,0.0,0,0.0,,0,0,41.3,23.4,16.8,1014.4,26.0,16.0,592.6,51.4,8,,2025-08-22T05:59:20,2025-08-22T19:34:19,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,Boston,2025-08-23,29.7,16.2,22.5,28.9,16.2,22.4,13.8,60.4,0.0,0,0.0,,0,0,44.2,28.8,199.7,1017.2,21.4,16.0,624.5,54.0,8,,2025-08-23T06:00:23,2025-08-23T19:32:44,0.0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,Boston,2025-08-24,27.2,15.9,21.6,27.6,15.9,21.7,16.2,73.4,0.0,0,0.0,,0,0,39.8,29.1,193.4,1015.5,42.5,15.8,453.3,39.2,8,,2025-08-24T06:01:27,2025-08-24T19:31:08,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,Boston,2025-08-25,25.9,17.7,22.0,25.9,17.7,22.0,18.2,80.3,0.406,100,4.17,rain,0,0,33.5,18.1,157.8,1009.3,74.5,14.1,569.6,49.2,8,,2025-08-25T06:02:30,2025-08-25T19:29:31,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,KBED,0518W,KBOS"
