,datetime,description,icon
0,2025-08-18,Partly cloudy throughout the day with early morning rain.,rain
1,2025-08-19,Partly cloudy throughout the day.,partly-cloudy-day
2,2025-08-20,Cloudy skies throughout the day with rain.,rain
3,2025-08-21,Partly cloudy throughout the day with early morning rain.,rain
4,2025-08-22,Partly cloudy throughout the day.,partly-cloudy-day
5,2025-08-23,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2025-08-24,Partly cloudy throughout the day.,partly-cloudy-day
7,2025-08-25,Partly cloudy throughout the day with late afternoon rain.,rain
